ts,open,high,low,close,volume
2026-06-01T08:05:00+00:00,758.02,759.08,757.79,758.06,64443.13013899999
2026-06-01T08:10:00+00:00,758.0,758.74,757.96,758.14,7248.308342
2026-06-01T08:15:00+00:00,758.19,758.19,758.0,758.07,2100.927933
2026-06-01T08:20:00+00:00,758.05,758.07,757.89,758.07,4840.146121000001
2026-06-01T08:25:00+00:00,758.0,758.09,757.94,758.02,2884.4991200000004
2026-06-01T08:30:00+00:00,757.97,757.97,757.8,757.86,5277.374976
2026-06-01T08:35:00+00:00,757.84,757.98,757.72,757.9,9780.696054000002
2026-06-01T08:40:00+00:00,757.86,757.91,757.78,757.86,3606.2664160000004
2026-06-01T08:45:00+00:00,757.93,757.98,757.83,757.94,6714.11177
2026-06-01T08:50:00+00:00,758.05,758.055,757.68,757.99,5919.687681
2026-06-01T08:55:00+00:00,758.05,758.26,757.98,758.26,7465.490364
2026-06-01T09:00:00+00:00,758.33,758.48,758.32,758.47,3173.066299
2026-06-01T09:05:00+00:00,758.5,758.68,758.5,758.68,3522.2385560000002
2026-06-01T09:10:00+00:00,758.68,758.68,758.3,758.3,3656.386075
2026-06-01T09:15:00+00:00,758.36,758.48,758.25,758.26,1978.1703819999998
2026-06-01T09:20:00+00:00,758.34,758.45,758.27,758.45,1866.205789
2026-06-01T09:25:00+00:00,758.35,758.36,758.21,758.27,1258.2516890000002
2026-06-01T09:30:00+00:00,758.215,758.36,758.2,758.34,3994.972138
2026-06-01T09:35:00+00:00,758.26,758.33,758.22,758.32,7856.058984000001
2026-06-01T09:40:00+00:00,758.32,758.32,758.21,758.23,2704.390853
2026-06-01T09:45:00+00:00,758.27,758.3,758.22,758.3,2950.294487
2026-06-01T09:50:00+00:00,758.25,758.25,758.21,758.21,636.289804
2026-06-01T09:55:00+00:00,758.121,758.121,758.02,758.06,1630.042258
2026-06-01T10:00:00+00:00,758.052,758.09,757.99,758.07,1405.991121
2026-06-01T10:10:00+00:00,758.15,758.34,758.14,758.34,535.202798
2026-06-01T10:15:00+00:00,758.43,758.51,758.42,758.43,1853.133528
2026-06-01T10:20:00+00:00,758.5,758.53,758.5,758.53,601.1146180000001
2026-06-01T10:25:00+00:00,758.38,758.44,758.35,758.38,953.5979110000001
2026-06-01T10:30:00+00:00,758.43,758.57,758.42,758.57,1493.146028
2026-06-01T10:35:00+00:00,758.61,758.67,758.52,758.66,6008.011048
2026-06-01T10:40:00+00:00,758.68,758.79,758.68,758.75,1562.7009520000001
2026-06-01T10:45:00+00:00,758.83,758.84,758.66,758.72,26912.616168
2026-06-01T10:50:00+00:00,758.73,758.73,758.55,758.73,50773.793110000006
2026-06-01T10:55:00+00:00,758.6875,758.7,758.63,758.64,13422.401206
2026-06-01T11:00:00+00:00,758.61,758.7,758.59,758.68,10584.293833000002
2026-06-01T11:05:00+00:00,758.68,758.72,758.57,758.6,29814.540075
2026-06-01T11:10:00+00:00,758.5304,758.69,758.53,758.59,7940.551587
2026-06-01T11:15:00+00:00,758.61,758.61,758.44,758.56,8424.264888
2026-06-01T11:20:00+00:00,758.52,758.6,758.42,758.6,4174.00918
2026-06-01T11:25:00+00:00,758.57,758.6,758.47,758.51,16454.703983000003
2026-06-01T11:30:00+00:00,758.56,758.73,758.4679,758.73,7436.852884999999
2026-06-01T11:35:00+00:00,758.64,758.95,758.58,758.84,23525.216372
2026-06-01T11:40:00+00:00,758.86,759.14,758.86,759.14,17205.705986
2026-06-01T11:45:00+00:00,759.22,759.26,758.88,758.94,8539.571109
2026-06-01T11:50:00+00:00,758.9592,759.02,758.77,758.78,5702.739559
2026-06-01T11:55:00+00:00,758.7201,758.74,758.52,758.5411,14864.55344
2026-06-01T12:00:00+00:00,758.55,758.5791,758.44,758.44,5383.662434999999
2026-06-01T12:05:00+00:00,758.48,758.48,758.28,758.28,7302.009778000001
2026-06-01T12:10:00+00:00,758.33,758.41,757.9891,757.9891,10961.000586
2026-06-01T12:15:00+00:00,757.93,758.18,757.87,757.99,21893.547291
2026-06-01T12:20:00+00:00,757.94,758.07,757.71,757.93,13330.394823999999
2026-06-01T12:25:00+00:00,757.95,758.08,757.93,758.0,6293.39718
2026-06-01T12:30:00+00:00,758.01,758.21,758.01,758.06,8385.209636
2026-06-01T12:35:00+00:00,758.06,758.0881,757.75,757.84,38943.516433
2026-06-01T12:40:00+00:00,757.89,758.15,757.85,758.11,40997.698819000005
2026-06-01T12:45:00+00:00,758.11,758.45,758.02,758.45,20022.910449
2026-06-01T12:50:00+00:00,758.48,758.52,758.28,758.28,19527.328564
2026-06-01T12:55:00+00:00,758.28,758.28,757.99,757.9999,20251.124831
2026-06-01T13:00:00+00:00,758.03,758.04,757.85,757.95,8532.019527
2026-06-01T13:05:00+00:00,757.95,757.96,757.6,757.671,36186.224361
2026-06-01T13:10:00+00:00,757.7,758.02,757.6007,757.98,16389.935342
2026-06-01T13:15:00+00:00,758.06,758.06,755.22,755.9681,281132.249888
2026-06-01T13:20:00+00:00,755.88,756.6,755.84,756.0,76893.39050800001
2026-06-01T13:25:00+00:00,755.95,756.02,754.86,754.93,126130.683371
2026-06-01T13:30:00+00:00,754.95,755.47,754.74,755.36,145760.07275
2026-06-01T13:35:00+00:00,755.36,756.1,754.69,755.7,1754546.1253330002
2026-06-01T13:40:00+00:00,755.69,756.58,755.58,756.25,750513.309921
2026-06-01T13:45:00+00:00,756.26,756.6,755.87,756.24,754334.1946850001
2026-06-01T13:50:00+00:00,756.24,756.69,756.21,756.4,775136.9462120001
2026-06-01T13:55:00+00:00,756.38,756.77,755.93,756.09,566396.8708660001
2026-06-01T14:00:00+00:00,756.08,756.18,755.53,755.55,479324.524897
2026-06-01T14:05:00+00:00,755.61,756.08,755.32,755.6,825542.706491
2026-06-01T14:10:00+00:00,755.59,756.48,755.51,756.35,568465.83004
2026-06-01T14:15:00+00:00,756.35,756.41,755.4,755.94,506351.75994600006
2026-06-01T14:20:00+00:00,755.92,756.76,755.6901,755.9,656332.3298530001
2026-06-01T14:25:00+00:00,755.88,756.57,755.83,756.2,520294.38695300004
2026-06-01T14:30:00+00:00,756.21,756.33,755.65,755.855,354534.63888
2026-06-01T14:35:00+00:00,755.84,756.18,755.54,755.74,323380.64732499997
2026-06-01T14:40:00+00:00,755.74,755.94,755.32,755.435,286629.115058
2026-06-01T14:45:00+00:00,755.41,755.95,755.28,755.81,294418.304223
2026-06-01T14:50:00+00:00,755.8,755.98,755.49,755.65,280474.62317
2026-06-01T14:55:00+00:00,755.64,755.89,755.39,755.56,359447.853249
2026-06-01T15:00:00+00:00,755.55,755.66,755.3,755.655,243356.622913
2026-06-01T15:05:00+00:00,755.65,755.85,755.45,755.78,1256239.2011
2026-06-01T15:10:00+00:00,755.8,756.27,755.45,756.02,334005.59085599997
2026-06-01T15:15:00+00:00,756.01,756.12,755.68,755.94,212696.91471500002
2026-06-01T15:20:00+00:00,755.92,756.09,755.8,755.875,414931.351631
2026-06-01T15:25:00+00:00,755.875,756.405,755.87,756.255,291575.400258
2026-06-01T15:30:00+00:00,756.25,756.31,755.96,756.16,188218.760408
2026-06-01T15:35:00+00:00,756.14,757.3,756.14,757.04,1137971.956676
2026-06-01T15:40:00+00:00,757.05,757.42,757.0,757.4,764285.948768
2026-06-01T15:45:00+00:00,757.4,757.42,757.17,757.285,341154.64275400003
2026-06-01T15:50:00+00:00,757.305,757.32,756.89,756.9,285451.904222
2026-06-01T15:55:00+00:00,756.89,757.16,756.79,756.99,366636.86929600005
2026-06-01T16:00:00+00:00,757.01,757.03,756.65,756.715,185020.708393
2026-06-01T16:05:00+00:00,756.7,757.25,756.7,756.875,299108.754936
2026-06-01T16:10:00+00:00,756.875,756.92,756.68,756.8,207951.687643
2026-06-01T16:15:00+00:00,756.7999,756.8,756.31,756.5301,334448.08468599996
2026-06-01T16:20:00+00:00,756.51,756.62,755.871,756.345,433128.774143
2026-06-01T16:25:00+00:00,756.355,756.76,756.31,756.72,187574.77427
2026-06-01T16:30:00+00:00,756.71,756.85,756.56,756.78,208694.77890300003
2026-06-01T16:35:00+00:00,756.78,757.29,756.78,757.12,291315.200238
2026-06-01T16:40:00+00:00,757.12,757.25,756.92,757.16,217991.83090300002
2026-06-01T16:45:00+00:00,757.155,757.25,757.03,757.06,183974.218981
2026-06-01T16:50:00+00:00,757.06,757.13,756.84,757.12,327811.43435799994
2026-06-01T16:55:00+00:00,757.12,757.88,757.01,757.83,517161.73958800005
2026-06-01T17:00:00+00:00,757.85,758.04,757.75,757.95,476001.285794
2026-06-01T17:05:00+00:00,757.94,757.99,757.42,757.43,360962.50940900005
2026-06-01T17:10:00+00:00,757.43,757.58,757.02,757.1,675231.905426
2026-06-01T17:15:00+00:00,757.095,757.4,757.095,757.31,201591.314226
2026-06-01T17:20:00+00:00,757.31,757.3999,757.13,757.345,181573.862204
2026-06-01T17:25:00+00:00,757.345,757.71,757.32,757.61,170243.060177
2026-06-01T17:30:00+00:00,757.59,758.55,757.47,758.52,341532.874035
2026-06-01T17:35:00+00:00,758.53,758.75,757.76,757.94,584142.354449
2026-06-01T17:40:00+00:00,757.94,758.54,757.73,758.44,1000795.3534349999
2026-06-01T17:45:00+00:00,758.435,760.28,758.37,759.48,1273393.4023310002
2026-06-01T17:50:00+00:00,759.47,760.08,759.45,759.62,496890.39031199994
2026-06-01T17:55:00+00:00,759.61,759.93,759.52,759.915,448969.183866
2026-06-01T18:00:00+00:00,759.91,759.95,759.45,759.55,294854.40915699996
2026-06-01T18:05:00+00:00,759.55,759.64,759.48,759.58,366460.394944
2026-06-01T18:10:00+00:00,759.59,759.71,759.52,759.65,291529.08091899997
2026-06-01T18:15:00+00:00,759.655,759.76,759.32,759.38,218882.308294
2026-06-01T18:20:00+00:00,759.38,759.76,759.33,759.75,166729.928668
2026-06-01T18:25:00+00:00,759.75,759.86,759.72,759.79,305464.103198
2026-06-01T18:30:00+00:00,759.7951,759.91,759.77,759.8205,329074.87764
2026-06-01T18:35:00+00:00,759.82,759.86,759.54,759.73,211909.079318
2026-06-01T18:40:00+00:00,759.729,759.85,759.59,759.66,219082.376693
2026-06-01T18:45:00+00:00,759.67,759.87,759.61,759.85,246131.286182
2026-06-01T18:50:00+00:00,759.84,759.86,759.545,759.565,225137.306216
2026-06-01T18:55:00+00:00,759.57,759.64,759.44,759.6,341767.12457299995
2026-06-01T19:00:00+00:00,759.59,759.82,759.51,759.52,327241.74740099994
2026-06-01T19:05:00+00:00,759.52,759.67,759.38,759.66,463343.272964
2026-06-01T19:10:00+00:00,759.67,759.7,759.37,759.635,293121.106847
2026-06-01T19:15:00+00:00,759.635,759.65,759.45,759.47,280851.84018
2026-06-01T19:20:00+00:00,759.47,759.59,759.4,759.46,246573.242619
2026-06-01T19:25:00+00:00,759.46,759.615,759.42,759.59,274859.62032800005
2026-06-01T19:30:00+00:00,759.6,759.76,759.55,759.68,203031.773681
2026-06-01T19:35:00+00:00,759.67,759.6792,759.22,759.24,877571.649627
2026-06-01T19:40:00+00:00,759.23,759.33,759.04,759.21,570536.175837
2026-06-01T19:45:00+00:00,759.19,759.19,758.88,759.02,558163.917251
2026-06-01T19:50:00+00:00,759.0,759.11,758.6,758.66,1030633.278251
2026-06-01T19:55:00+00:00,758.67,758.8,758.16,758.24,1152960.849674
2026-06-01T20:00:00+00:00,758.25,758.495,758.04,758.43,2093567.748496
2026-06-01T20:05:00+00:00,758.43,758.61,758.3204,758.54,668624.776851
2026-06-01T20:10:00+00:00,758.54,758.65,758.41,758.53,929982.532107
2026-06-01T20:15:00+00:00,758.54,758.6615,758.48,758.65,1299130.4694540002
2026-06-01T20:20:00+00:00,758.65,758.65,758.39,758.55,51929.876365
2026-06-01T20:25:00+00:00,758.49,758.53,758.38,758.39,54295.956976
2026-06-01T20:30:00+00:00,758.39,758.39,758.14,758.25,35398.627703
2026-06-01T20:35:00+00:00,758.17,758.36,758.16,758.35,23880.588124
2026-06-01T20:40:00+00:00,758.42,758.5,758.38,758.38,30679.572433000005
2026-06-01T20:45:00+00:00,758.35,758.84,758.35,758.54,44235.839084
2026-06-01T20:50:00+00:00,758.58,758.58,758.0794,758.24,62124.108034
2026-06-01T20:55:00+00:00,758.26,758.26,757.83,757.84,30923.022128999997
2026-06-01T21:00:00+00:00,757.8308,758.08,757.7,758.0,27825.28715
2026-06-01T21:05:00+00:00,757.86,758.06,757.84,758.05,41820.542395000004
2026-06-01T21:10:00+00:00,758.05,758.05,757.98,758.03,21110.262972
2026-06-01T21:15:00+00:00,757.98,758.05,757.95,758.05,9400.204745
2026-06-01T21:20:00+00:00,758.05,758.05,758.0,758.03,3725.0929770000002
2026-06-01T21:25:00+00:00,758.0,758.02,757.98,758.02,12262.766743000002
2026-06-01T21:30:00+00:00,757.99,758.02,757.95,757.97,11359.528472
2026-06-01T21:35:00+00:00,758.0,758.05,757.79,757.79,3146.176915
2026-06-01T21:40:00+00:00,757.9,757.93,757.84,757.85,3601.77592
2026-06-01T21:45:00+00:00,757.85,757.99,757.74,757.77,6333.076624
2026-06-01T21:50:00+00:00,757.81,757.97,757.75,757.89,3044.803068
2026-06-01T21:55:00+00:00,757.87,757.98,757.86,757.8679,1470.9633359999998
2026-06-01T22:00:00+00:00,757.92,758.14,757.86,758.1,6433.105152
2026-06-01T22:05:00+00:00,758.12,758.18,757.16,757.21,27363.336235
2026-06-01T22:10:00+00:00,757.28,757.28,756.6112,757.0,15494.106836
2026-06-01T22:15:00+00:00,756.99,757.1,756.99,757.0278,2465.467545
2026-06-01T22:20:00+00:00,756.9388,757.05,756.86,756.95,32375.074828000004
2026-06-01T22:25:00+00:00,756.89,756.91,756.54,756.72,4322.586193
2026-06-01T22:30:00+00:00,756.71,756.794,756.51,756.55,1817.603491
2026-06-01T22:35:00+00:00,756.5863,756.61,756.53,756.5988,2641.3137810000003
2026-06-01T22:40:00+00:00,756.56,756.58,756.3137,756.365,9153.462580999998
2026-06-01T22:45:00+00:00,756.3585,756.45,756.26,756.31,1776.889308
2026-06-01T22:50:00+00:00,756.38,756.4707,756.3211,756.37,3282.272168
2026-06-01T22:55:00+00:00,756.3439,756.4695,756.2903,756.38,6715.356526
2026-06-01T23:00:00+00:00,756.2978,756.5999,756.25,756.5999,3290.43679
2026-06-01T23:05:00+00:00,756.6,756.6978,756.6,756.671,2551.481409
2026-06-01T23:10:00+00:00,756.63,756.663,756.5,756.663,1819.2142709999998
2026-06-01T23:15:00+00:00,756.58,756.65,756.58,756.6,681.8669709999999
2026-06-01T23:20:00+00:00,756.55,756.7403,756.55,756.7263,1661.7231490000001
2026-06-01T23:25:00+00:00,756.7242,756.7242,756.68,756.68,373.21385699999996
