ts,open,high,low,close,volume
2026-06-01T08:05:00+00:00,94.13,94.21,94.12,94.21,2241.0584019999997
2026-06-01T08:20:00+00:00,94.13,94.13,94.13,94.13,265.0
2026-06-01T09:15:00+00:00,94.21,94.21,94.21,94.21,555.0
2026-06-01T10:15:00+00:00,94.18,94.18,94.18,94.18,1330.0
2026-06-01T11:40:00+00:00,94.5198,94.5198,94.5198,94.5198,124.461
2026-06-01T11:55:00+00:00,94.16,94.16,94.16,94.16,159.0
2026-06-01T12:10:00+00:00,94.34,94.34,94.34,94.34,527.88781
2026-06-01T12:20:00+00:00,94.33,94.33,94.26,94.26,1060.0
2026-06-01T13:00:00+00:00,94.26,94.26,94.24,94.24,4288.0
2026-06-01T13:15:00+00:00,94.1,94.1,94.1,94.1,350.0
2026-06-01T13:20:00+00:00,94.07,94.07,94.07,94.07,205.0
2026-06-01T13:25:00+00:00,94.09,94.09,94.04,94.04,2255.0
2026-06-01T13:30:00+00:00,93.93,93.93,93.93,93.93,187.0
2026-06-01T13:35:00+00:00,93.91,93.94,93.875,93.905,177010.98075
2026-06-01T13:40:00+00:00,93.9082,93.95,93.89,93.925,421745.877111
2026-06-01T13:45:00+00:00,93.925,93.925,93.901,93.905,65826.362473
2026-06-01T13:50:00+00:00,93.91,93.94,93.9043,93.93,64217.294024999996
2026-06-01T13:55:00+00:00,93.935,93.94,93.905,93.915,475423.62583599996
2026-06-01T14:00:00+00:00,93.92,93.92,93.84,93.84,374333.381891
2026-06-01T14:05:00+00:00,93.83,93.87,93.81,93.855,194745.698747
2026-06-01T14:10:00+00:00,93.855,93.865,93.821,93.85,58971.164554
2026-06-01T14:15:00+00:00,93.85,93.88,93.81,93.875,117477.93526
2026-06-01T14:20:00+00:00,93.875,93.92,93.8496,93.85,138264.879753
2026-06-01T14:25:00+00:00,93.85,93.88,93.845,93.87,80335.099288
2026-06-01T14:30:00+00:00,93.85,93.87,93.845,93.87,58424.509892999995
2026-06-01T14:35:00+00:00,93.865,93.87,93.84,93.86,81154.940993
2026-06-01T14:40:00+00:00,93.855,93.855,93.8335,93.845,31441.216515
2026-06-01T14:45:00+00:00,93.8499,93.8588,93.845,93.845,17821.809007
2026-06-01T14:50:00+00:00,93.85,93.855,93.835,93.835,13034.298053999999
2026-06-01T14:55:00+00:00,93.84,93.84,93.82,93.8385,17755.283034
2026-06-01T15:00:00+00:00,93.835,93.8499,93.8201,93.8201,32342.446238999997
2026-06-01T15:05:00+00:00,93.83,93.845,93.805,93.845,25604.543348
2026-06-01T15:10:00+00:00,93.84,93.86,93.805,93.85,89140.1592
2026-06-01T15:15:00+00:00,93.85,93.88,93.85,93.87,23689.272232
2026-06-01T15:20:00+00:00,93.865,93.895,93.86,93.891,78790.07698799999
2026-06-01T15:25:00+00:00,93.9,93.9199,93.8999,93.8999,137811.86974599998
2026-06-01T15:30:00+00:00,93.9,93.915,93.8991,93.9,90059.678412
2026-06-01T15:35:00+00:00,93.895,93.995,93.895,93.96,223809.95622599998
2026-06-01T15:40:00+00:00,93.95,93.955,93.915,93.915,77808.51360100001
2026-06-01T15:45:00+00:00,93.915,93.9262,93.91,93.92,24830.535364999996
2026-06-01T15:50:00+00:00,93.902,93.92,93.902,93.905,67421.757468
2026-06-01T15:55:00+00:00,93.905,93.92,93.9,93.91,18679.149768
2026-06-01T16:00:00+00:00,93.905,93.9271,93.905,93.925,42429.933493000004
2026-06-01T16:05:00+00:00,93.925,93.97,93.92,93.925,142349.49212
2026-06-01T16:10:00+00:00,93.9299,93.9299,93.9,93.9101,17786.112239000002
2026-06-01T16:15:00+00:00,93.91,93.91,93.88,93.895,69880.240886
2026-06-01T16:20:00+00:00,93.89,93.89,93.84,93.865,36683.527004
2026-06-01T16:25:00+00:00,93.865,93.8762,93.865,93.87,17315.17458
2026-06-01T16:30:00+00:00,93.8694,93.88,93.8643,93.88,15659.725482999998
2026-06-01T16:35:00+00:00,93.89,93.91,93.89,93.905,30228.753109000005
2026-06-01T16:40:00+00:00,93.906,93.92,93.9,93.9197,39247.12971999999
2026-06-01T16:45:00+00:00,93.9199,93.93,93.915,93.9199,26233.234711999998
2026-06-01T16:50:00+00:00,93.92,93.9399,93.915,93.9399,28098.391187999998
2026-06-01T16:55:00+00:00,93.94,94.02,93.94,94.02,51143.25109
2026-06-01T17:00:00+00:00,94.025,94.05,94.02,94.045,47152.982305
2026-06-01T17:05:00+00:00,94.045,94.05,94.025,94.035,75941.16507
2026-06-01T17:10:00+00:00,94.04,94.05,94.0321,94.045,25011.777162
2026-06-01T17:15:00+00:00,94.045,94.055,94.04,94.055,56888.221326
2026-06-01T17:20:00+00:00,94.0599,94.075,94.05,94.075,20429.207675999998
2026-06-01T17:25:00+00:00,94.075,94.0756,94.04,94.04,33372.156355
2026-06-01T17:30:00+00:00,94.0497,94.13,94.045,94.115,60321.116952
2026-06-01T17:35:00+00:00,94.12,94.14,94.095,94.1,95748.684549
2026-06-01T17:40:00+00:00,94.095,94.1158,94.09,94.1,81450.81575
2026-06-01T17:45:00+00:00,94.095,94.2,94.095,94.12,386173.23266800004
2026-06-01T17:50:00+00:00,94.13,94.145,94.115,94.125,40098.659514
2026-06-01T17:55:00+00:00,94.125,94.135,94.115,94.135,346467.769999
2026-06-01T18:00:00+00:00,94.135,94.1393,94.12,94.125,27308.369152
